Aarika;Manning;19936405-7;12-06-1977
Abagael;Dunn;6904814-5;20-02-1993
Abagail;Cox;17967023-2;23-09-1993
Abbe;Jordan;5187494-3;05-09-1963
Abbey;Romero;6197745-7;04-11-1980
Abbi;Fisher;10990519-4;03-10-1968
Abbie;Rubio;13664513-7;06-11-1965
Abby;Barr;6262063-3;07-01-1962
Abbye;Newton;2371426-4;16-01-1962
Abigael;Hart;16134845-7;11-11-1995
Ada;Gonzalez;13782666-6;21-11-1969
Adah;Wyatt;6225370-3;21-11-1972
Adaline;Bruce;4677131-1;15-10-1973
Adan;Delgado;8520458-0;19-11-1964
Adara;Riley;5097553-3;13-09-1994
Adda;Hughes;19469580-2;13-06-1985
Addi;Keller;4843671-4;11-05-1962
Adel;Neal;1062876-8;04-09-1966
Adela;Solis;13319233-6;10-06-1972
Adelaida;Marín;17676593-3;17-08-1994
Adelaide;Conner;4630656-2;27-01-1995
Adelheid;Wade;9436349-7;22-02-1980
Adelina;Park;17209139-3;08-08-1977
Adeline;Snow;4113424-0;25-05-1965
Adella;Boyd;11077359-5;20-05-1971
Adelle;Rivers;18894194-K;08-07-1989
Adena;Hammond;15604402-4;23-01-1964
Adey;Fernández;9874623-4;24-06-1969
Adi;Day;15355557-5;14-10-1994
Adina;Hinton;10327832-5;28-07-1960
Adore;Pastor;4598717-5;25-09-1970
Adorne;Vidal;11291723-3;24-05-1965
Adrea;Nash;1141379-K;16-12-1973
Adria;Thornton;8395363-2;11-04-1977
Adriana;Humphrey;12935840-8;18-10-1965
Adriane;Newton;4123510-1;13-06-1968
Aeriell;Ochoa;5538542-4;02-07-1995
Afton;Grimes;6114567-2;05-12-1976
Ag;Alonso;9308078-5;14-02-1965
Agace;Aguilar;8222530-7;14-05-1969
Agata;Vicente;15469900-7;19-04-1988
Agatha;Grimes;17975973-K;16-08-1965
Aggie;Ferrer;9701532-5;07-11-1987
Aggy;Mclean;3077219-9;15-08-1984
Agna;Browning;5318229-1;15-05-1983
Agnella;Vaughn;19928333-2;16-11-1995
Agnes;Burks;5626615-1;22-07-1973
Agnese;Mays;13503999-3;27-05-1989
Agnesse;Massey;19735004-0;19-07-1981
Agneta;Winters;15724928-2;19-04-1972
Agretha;Miller;16676702-4;19-01-1975
Aida;Witt;6486725-3;11-07-1995
Aidan;Baird;7674688-5;16-10-1980
Aila;Mcbride;7173201-0;25-06-1987
Aile;Barber;16606471-6;17-03-1970
Ailee;Carney;18100965-9;03-09-1967
Aileen;Hobbs;7464968-8;20-09-1984
Ailene;Carpenter;10620931-6;17-09-1994
Aili;Rivers;6634255-7;13-12-1983
Ailina;Wiggins;4999961-5;16-04-1995
Ailsun;Thompson;4093435-9;12-08-1983
Ailyn;Fields;16508801-8;23-11-1995
Aimee;Mercer;7648006-0;01-10-1975
Aimil;Woods;16744388-5;21-03-1989
Aindrea;León;7237854-7;05-05-1973
Ainslee;West;18047899-K;09-06-1987
Ainsley;Jiménez;19379223-5;12-08-1981
Ainslie;Barber;17745267-K;27-04-1979
Ajay;Kramer;18161514-1;13-01-1984
Alaine;Morrison;10649162-3;03-08-1970
Alanah;Jiménez;7014995-8;04-07-1982
Alane;Stevens;8191369-2;10-07-1975
Alberta;Bolton;8673334-K;13-06-1969
Albertina;Bonner;16527755-4;26-06-1989
Albertine;Alvarado;13898448-6;12-03-1992
Albina;Frazier;19767453-9;26-03-1993
Aleece;Hawkins;8670519-2;22-10-1995
Aleen;Hernandez;12492628-9;03-01-1986
Alejandra;Carver;14063283-K;14-01-1965
Alena;Cook;18228614-1;25-02-1962
Alene;Evans;17176232-4;03-07-1990
Alessandra;Jones;19509831-K;20-02-1980
Aleta;Daniels;13838109-9;04-09-1975
Alethea;Horn;18555103-2;04-05-1971
Alex;Durán;5252144-0;10-08-1970
Alexa;Woodward;19079010-K;05-09-1976
Alexandra;Terrell;3418002-4;06-11-1988
Alexandrina;Mayo;14294832-K;13-06-1969
Alexi;Chang;3178151-5;17-04-1969
Alexia;Bernard;11952887-9;13-08-1976
Alexina;Best;7779735-1;15-08-1973
Alexis;Gilmore;8709706-4;23-04-1981
Alfi;Workman;1886739-7;18-02-1961
Alfy;Schultz;8520154-9;09-06-1967
Ali;Glenn;19823292-0;09-04-1969
Alia;Ray;5310599-8;09-12-1966
Alica;Fowler;13540306-7;16-06-1985
Alice;Lee;14654126-7;05-04-1961
Alicia;Dominguez;17391348-6;15-12-1971
Alida;Petty;13917889-0;23-11-1985
Alie;Whitfield;12130284-5;15-07-1988
